name,mana_cost,type_line,oracle_text,rarity,set,collector_number
Full Bore,{R},Instant,"Target creature you control gets +3/+2 until end of turn. If that creature was cast for its warp cost, it also gains trample and haste until end of turn.",uncommon,eoe,135
Galvanizing Sawship,{5}{R},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 3+.)
3+ | Flying, haste",uncommon,eoe,136
Invasive Maneuvers,{1}{R},Instant,Invasive Maneuvers deals 3 damage to target creature. It deals 5 damage instead if you control a Spacecraft.,uncommon,eoe,137
Kav Landseeker,{3}{R},Creature — Kavu Soldier,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature enters, create a Lander token. At the beginning of the end step on your next turn, sacrifice that token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",common,eoe,138
Kavaron Harrier,{R},Artifact Creature — Robot Soldier,"Whenever this creature attacks, you may pay {2}. If you do, create a 2/2 colorless Robot artifact creature token that's tapped and attacking. Sacrifice that token at end of combat.",uncommon,eoe,139
Kavaron Skywarden,{4}{R},Creature — Kavu Soldier,"Reach
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, put a +1/+1 counter on this creature.",common,eoe,140
Kavaron Turbodrone,{2}{R},Artifact Creature — Robot Scout,{T}: Target creature you control gets +1/+1 and gains haste until end of turn. Activate only as a sorcery.,common,eoe,141
Lithobraking,{2}{R},Instant,"Create a Lander token. Then you may sacrifice an artifact. When you do, Lithobraking deals 2 damage to each creature. (A Lander token is an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",uncommon,eoe,142
Melded Moxite,{1}{R},Artifact,"When this artifact enters, you may discard a card. If you do, draw two cards.
{3}, Sacrifice this artifact: Create a tapped 2/2 colorless Robot artifact creature token.",common,eoe,143
Memorial Team Leader,{3}{R},Creature — Kavu Soldier,"During your turn, other creatures you control get +1/+0.
Warp {1}{R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,144
Memorial Vault,{3}{R},Artifact,"{T}, Sacrifice another artifact: Exile the top X cards of your library, where X is one plus the mana value of the sacrificed artifact. You may play those cards this turn.",rare,eoe,145
Molecular Modifier,{2}{R},Creature — Kavu Artificer,"At the beginning of combat on your turn, target creature you control gets +1/+0 and gains first strike until end of turn.",uncommon,eoe,146
Nebula Dragon,{6}{R},Creature — Dragon,"Flying
When this creature enters, it deals 3 damage to any target.",common,eoe,147
Nova Hellkite,{3}{R}{R},Creature — Dragon,"Flying, haste
When this creature enters, it deals 1 damage to target creature an opponent controls.
Warp {2}{R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,148
Orbital Plunge,{3}{R},Sorcery,"Orbital Plunge deals 6 damage to target creature. If excess damage was dealt this way, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",common,eoe,149
Oreplate Pangolin,{1}{R},Artifact Creature — Robot Pangolin,"Whenever another artifact you control enters, you may pay {1}. If you do, put a +1/+1 counter on this creature.",common,eoe,150
Pain for All,{2}{R},Enchantment — Aura,"Enchant creature you control
When this Aura enters, enchanted creature deals damage equal to its power to any other target.
Whenever enchanted creature is dealt damage, it deals that much damage to each opponent.",rare,eoe,151
Plasma Bolt,{R},Sorcery,"Plasma Bolt deals 2 damage to any target.
Void — Plasma Bolt deals 3 damage instead if a nonland permanent left the battlefield this turn or a spell was warped this turn.",common,eoe,152
Possibility Technician,{2}{R},Creature — Kavu Artificer,"Whenever this creature or another Kavu you control enters, exile the top card of your library. For as long as that card remains exiled, you may play it if you control a Kavu.
Warp {1}{R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,153
Red Tiger Mechan,{3}{R},Artifact Creature — Robot Cat,"Haste
Warp {1}{R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,154
Remnant Elemental,{1}{R},Creature — Elemental,"Reach
Landfall — Whenever a land you control enters, this creature gets +2/+0 until end of turn.",uncommon,eoe,155
Rig for War,{1}{R},Instant,Target creature gets +3/+0 and gains first strike and reach until end of turn.,common,eoe,156
Roving Actuator,{3}{R},Artifact Creature — Robot,"Void — When this creature enters, if a nonland permanent left the battlefield this turn or a spell was warped this turn, exile up to one target instant or sorcery card with mana value 2 or less from your graveyard. Copy it. You may cast the copy without paying its mana cost.",uncommon,eoe,157
Ruinous Rampage,{1}{R}{R},Sorcery,"Choose one —
• Ruinous Rampage deals 3 damage to each opponent.
• Exile all artifacts with mana value 3 or less.",uncommon,eoe,158
Rust Harvester,{R},Artifact Creature — Robot,"Menace
{2}, {T}, Exile an artifact card from your graveyard: Put a +1/+1 counter on this creature, then it deals damage equal to its power to any target.",rare,eoe,159
Slagdrill Scrapper,{R},Artifact Creature — Robot Scout,"{2}, {T}, Sacrifice another artifact or land: Draw a card.",common,eoe,160
Systems Override,{2}{R},Sorcery,"Gain control of target artifact or creature until end of turn. Untap that permanent. It gains haste until end of turn. If it's a Spacecraft, put ten charge counters on it. If you do, remove ten charge counters from it at the beginning of the next end step.",uncommon,eoe,161
"Tannuk, Steadfast Second",{2}{R}{R},Legendary Creature — Kavu Pilot,"Other creatures you control have haste.
Artifact cards and red creature cards in your hand have warp {2}{R}. (You may cast a card from your hand for its warp cost. Exile that permanent at the beginning of the next end step, then you may cast it from exile on a later turn.)",mythic,eoe,162
Terminal Velocity,{4}{R}{R},Sorcery,"You may put an artifact or creature card from your hand onto the battlefield. That permanent gains haste, ""When this permanent leaves the battlefield, it deals damage equal to its mana value to each creature,"" and ""At the beginning of your end step, sacrifice this permanent.""",rare,eoe,163
Terrapact Intimidator,{1}{R},Creature — Kavu Scout,"When this creature enters, target opponent may have you create two Lander tokens. If they don't, put two +1/+1 counters on this creature. (A Lander token is an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",uncommon,eoe,164
Territorial Bruntar,{4}{R}{R},Creature — Beast,"Reach
Landfall — Whenever a land you control enters, exile cards from the top of your library until you exile a nonland card. You may cast that card this turn.",uncommon,eoe,165
Vaultguard Trooper,{4}{R},Creature — Kavu Soldier,"At the beginning of your end step, if you control two or more tapped creatures, you may discard your hand. If you do, draw two cards.",uncommon,eoe,166
Warmaker Gunship,{2}{R},Artifact — Spacecraft,"When this Spacecraft enters, it deals damage equal to the number of artifacts you control to target creature an opponent controls.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 6+.)
6+ | Flying",rare,eoe,167
Weapons Manufacturing,{1}{R},Enchantment,"Whenever a nontoken artifact you control enters, create a colorless artifact token named Munitions with ""When this token leaves the battlefield, it deals 2 damage to any target.""",rare,eoe,168
Weftstalker Ardent,{2}{R},Creature — Drix Artificer,"Whenever another creature or artifact you control enters, this creature deals 1 damage to each opponent.
Warp {R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,169
Zookeeper Mechan,{1}{R},Artifact Creature — Robot,"{T}: Add {R}.
{6}{R}: Target creature you control gets +4/+0 until end of turn. Activate only as a sorcery.",common,eoe,170
Atmospheric Greenhouse,{4}{G},Artifact — Spacecraft,"When this Spacecraft enters, put a +1/+1 counter on each creature you control.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying, trample",uncommon,eoe,171
Bioengineered Future,{1}{G}{G},Enchantment,"When this enchantment enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Each creature you control enters with an additional +1/+1 counter on it for each land that entered the battlefield under your control this turn.",rare,eoe,172
Biosynthic Burst,{1}{G},Instant,"Put a +1/+1 counter on target creature you control. It gains reach, trample, and indestructible until end of turn. Untap it. (Damage and effects that say ""destroy"" don't destroy it.)",common,eoe,173
Blooming Stinger,{1}{G},Creature — Plant Scorpion,"Deathtouch
When this creature enters, another target creature you control gains deathtouch until end of turn.",common,eoe,174
Broodguard Elite,{X}{G}{G},Creature — Insect Knight,"This creature enters with X +1/+1 counters on it.
When this creature leaves the battlefield, put its counters on target creature you control.
Warp {X}{G} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,175
Close Encounter,{1}{G},Instant,"As an additional cost to cast this spell, choose a creature you control or a warped creature card you own in exile.
Close Encounter deals damage equal to the power of the chosen creature or card to target creature.",uncommon,eoe,176
Diplomatic Relations,{2}{G},Instant,Target creature you control gets +1/+0 and gains vigilance until end of turn. It deals damage equal to its power to target creature an opponent controls.,common,eoe,177
Drix Fatemaker,{3}{G},Creature — Drix Wizard,"When this creature enters, put a +1/+1 counter on target creature.
Each creature you control with a +1/+1 counter on it has trample.
Warp {1}{G} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,178
Edge Rover,{G},Artifact Creature — Robot Scout,"Reach
When this creature dies, each player creates a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",uncommon,eoe,179
Eumidian Terrabotanist,{1}{G},Creature — Insect Druid,"Landfall — Whenever a land you control enters, you gain 1 life.",uncommon,eoe,180
Eusocial Engineering,{3}{G}{G},Enchantment,"Landfall — Whenever a land you control enters, create a 2/2 colorless Robot artifact creature token.
Warp {1}{G} (You may cast this card from your hand for its warp cost. Exile this enchantment at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,181
Famished Worldsire,{5}{G}{G}{G},Creature — Leviathan,"Ward {3}
Devour land 3 (As this creature enters, you may sacrifice any number of lands. It enters with three times that many +1/+1 counters on it.)
When this creature enters, look at the top X cards of your library, where X is this creature's power. Put any number of land cards from among them onto the battlefield tapped, then shuffle.",mythic,eoe,182
Frenzied Baloth,{G}{G},Creature — Beast,"This spell can't be countered.
Trample, haste
Creature spells you control can't be countered.
Combat damage can't be prevented.",rare,eoe,183
Fungal Colossus,{6}{G},Creature — Fungus Beast,"This spell costs {X} less to cast, where X is the number of differently named lands you control.",common,eoe,184
Galactic Wayfarer,{2}{G},Creature — Human Scout,"When this creature enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",common,eoe,185
Gene Pollinator,{G},Artifact Creature — Robot Insect,"{T}, Tap an untapped permanent you control: Add one mana of any color.",common,eoe,186
Germinating Wurm,{4}{G},Creature — Plant Wurm,"When this creature enters, you gain 2 life.
Warp {1}{G} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",common,eoe,187
Glacier Godmaw,{5}{G}{G},Creature — Leviathan,"Trample
When this creature enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Landfall — Whenever a land you control enters, creatures you control get +1/+1 and gain vigilance and haste until end of turn.",uncommon,eoe,188
Harmonious Grovestrider,{3}{G}{G},Creature — Beast,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Harmonious Grovestrider's power and toughness are each equal to the number of lands you control.",uncommon,eoe,189
Hemosymbic Mite,{G},Creature — Mite,"Whenever this creature becomes tapped, another target creature you control gets +X/+X until end of turn, where X is this creature's power.",uncommon,eoe,190
Icecave Crasher,{3}{G},Creature — Beast,"Trample
Landfall — Whenever a land you control enters, this creature gets +1/+0 until end of turn.",common,eoe,191
Icetill Explorer,{2}{G}{G},Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",rare,eoe,192
Intrepid Tenderfoot,{1}{G},Creature — Insect Citizen,{3}: Put a +1/+1 counter on this creature. Activate only as a sorcery.,common,eoe,193
Larval Scoutlander,{2}{G},Artifact — Spacecraft,"When this Spacecraft enters, you may sacrifice a land or Lander. If you do, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying",uncommon,eoe,194
Lashwhip Predator,{4}{G}{G},Creature — Plant Beast,"This spell costs {2} less to cast if your opponents control three or more creatures.
Reach",uncommon,eoe,195
Loading Zone,{3}{G},Enchantment,"If one or more counters would be put on a creature, Spacecraft, or Planet you control, twice that many of each of those kinds of counters are put on it instead.
Warp {G} (You may cast this card from your hand for its warp cost. Exile this enchantment at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,196
Meltstrider Eulogist,{2}{G},Creature — Insect Soldier,"Whenever a creature you control with a +1/+1 counter on it dies, draw a card.",uncommon,eoe,197
Meltstrider's Gear,{G},Artifact — Equipment,"When this Equipment enters, attach it to target creature you control.
Equipped creature gets +2/+1 and has reach.
Equip {5} ({5}: Attach to target creature you control. Equip only as a sorcery.)",common,eoe,198
Meltstrider's Resolve,{G},Enchantment — Aura,"Enchant creature you control
When this Aura enters, enchanted creature fights up to one target creature an opponent controls. (Each deals damage equal to its power to the other.)
Enchanted creature gets +0/+2 and can't be blocked by more than one creature.",uncommon,eoe,199
Mightform Harmonizer,{2}{G}{G},Creature — Insect Druid,"Landfall — Whenever a land you control enters, double the power of target creature you control until end of turn.
Warp {2}{G} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,200
Ouroboroid,{2}{G}{G},Creature — Plant Wurm,"At the beginning of combat on your turn, put X +1/+1 counters on each creature you control, where X is this creature's power.",mythic,eoe,201
Pull Through the Weft,{3}{G}{G},Sorcery,"Return up to two target nonland permanent cards from your graveyard to your hand, then return up to two target land cards from your graveyard to the battlefield tapped.",uncommon,eoe,202
Sami's Curiosity,{G},Sorcery,"You gain 2 life. Create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",common,eoe,203
Seedship Agrarian,{3}{G},Creature — Insect Scientist,"Whenever this creature becomes tapped, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Landfall — Whenever a land you control enters, put a +1/+1 counter on this creature.",uncommon,eoe,204
Seedship Impact,{1}{G},Instant,"Destroy target artifact or enchantment. If its mana value was 2 or less, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",uncommon,eoe,205
Shattered Wings,{2}{G},Sorcery,"Destroy target artifact, enchantment, or creature with flying. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",common,eoe,206
Skystinger,{2}{G},Creature — Insect Warrior,"Reach
Whenever this creature blocks a creature with flying, this creature gets +5/+0 until end of turn.",common,eoe,207
Sledge-Class Seedship,{2}{G},Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying
Whenever this Spacecraft attacks, you may put a creature card from your hand onto the battlefield.",rare,eoe,208
Tapestry Warden,{3}{G},Artifact Creature — Robot Soldier,"Vigilance
Each creature you control with toughness greater than its power assigns combat damage equal to its toughness rather than its power.
Each creature you control with toughness greater than its power stations permanents using its toughness rather than its power.",uncommon,eoe,209
Terrasymbiosis,{2}{G},Enchantment,"Whenever you put one or more +1/+1 counters on a creature you control, you may draw that many cards. Do this only once each turn.",rare,eoe,210
Thawbringer,{2}{G},Creature — Insect Scout,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",common,eoe,211
"Alpharael, Dreaming Acolyte",{1}{U}{B},Legendary Creature — Human Cleric,"When Alpharael enters, draw two cards. Then discard two cards unless you discard an artifact card.
During your turn, Alpharael has deathtouch.",uncommon,eoe,212
Biomechan Engineer,{G}{U},Creature — Insect Artificer,"When this creature enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
{8}: Draw two cards and create a 2/2 colorless Robot artifact creature token.",uncommon,eoe,213
Biotech Specialist,{R}{G},Creature — Insect Scientist,"When this creature enters, create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")
Whenever you sacrifice an artifact, this creature deals 2 damage to target opponent.",rare,eoe,214
Cosmogoyf,{B}{G},Creature — Elemental Lhurgoyf,Cosmogoyf's power is equal to the number of cards you own in exile and its toughness is equal to that number plus 1.,rare,eoe,215
"Dyadrine, Synthesis Amalgam",{X}{G}{W},Legendary Artifact Creature — Construct,"Trample
Dyadrine enters with a number of +1/+1 counters on it equal to the amount of mana spent to cast it.
Whenever you attack, you may remove a +1/+1 counter from each of two creatures you control. If you do, draw a card and create a 2/2 colorless Robot artifact creature token.",rare,eoe,216
Genemorph Imago,{G}{U},Creature — Insect Druid,"Flying
Landfall — Whenever a land you control enters, target creature has base power and toughness 3/3 until end of turn. If you control six or more lands, that creature has base power and toughness 6/6 until end of turn instead.",rare,eoe,217
"Haliya, Ascendant Cadet",{2}{G}{W}{W},Legendary Creature — Human Soldier,"Whenever Haliya enters or attacks, put a +1/+1 counter on target creature you control.
Whenever one or more creatures you control with +1/+1 counters on them deal combat damage to a player, draw a card.",uncommon,eoe,218
Infinite Guideline Station,{W}{U}{B}{R}{G},Legendary Artifact — Spacecraft,"When Infinite Guideline Station enters, create a tapped 2/2 colorless Robot artifact creature token for each multicolored permanent you control.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 12+.)
12+ | Flying
Whenever Infinite Guideline Station attacks, draw a card for each multicolored permanent you control.",rare,eoe,219
Interceptor Mechan,{2}{B}{R},Artifact Creature — Robot,"Flying
When this creature enters, return target artifact or creature card from your graveyard to your hand.
Void — At the beginning of your end step, if a nonland permanent left the battlefield this turn or a spell was warped this turn, put a +1/+1 counter on this creature.",uncommon,eoe,220
"Mm'menon, Uthros Exile",{1}{U}{R},Legendary Creature — Jellyfish Advisor,"Flying
Whenever an artifact you control enters, put a +1/+1 counter on target creature.",uncommon,eoe,221
Mutinous Massacre,{3}{B}{B}{R}{R},Sorcery,Choose odd or even. Destroy each creature with mana value of the chosen quality. Then gain control of all creatures until end of turn. Untap them. They gain haste until end of turn. (Zero is even.),rare,eoe,222
Pinnacle Emissary,{1}{U}{R},Artifact Creature — Robot,"Whenever you cast an artifact spell, create a 1/1 colorless Drone artifact creature token with flying and ""This token can block only creatures with flying.""
Warp {U/R} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",rare,eoe,223
"Ragost, Deft Gastronaut",{R}{W},Legendary Creature — Lobster Citizen,"Artifacts you control are Foods in addition to their other types and have ""{2}, {T}, Sacrifice this artifact: You gain 3 life.""
{1}, {T}, Sacrifice a Food: Ragost deals 3 damage to each opponent.
At the beginning of each end step, if you gained life this turn, untap Ragost.",rare,eoe,224
"Sami, Ship's Engineer",{2}{R}{W},Legendary Creature — Human Artificer,"At the beginning of your end step, if you control two or more tapped creatures, create a tapped 2/2 colorless Robot artifact creature token.",uncommon,eoe,225
"Sami, Wildcat Captain",{4}{R}{W},Legendary Creature — Human Artificer Rogue,"Double strike, vigilance
Spells you cast have affinity for artifacts. (They cost {1} less to cast for each artifact you control.)",mythic,eoe,226
Seedship Broodtender,{B}{G},Creature — Insect Citizen,"When this creature enters, mill three cards. (Put the top three cards of your library into your graveyard.)
{3}{B}{G}, Sacrifice this creature: Return target creature or Spacecraft card from your graveyard to the battlefield. Activate only as a sorcery.",uncommon,eoe,227
Singularity Rupture,{3}{U}{B}{B},Sorcery,"Destroy all creatures, then any number of target players each mill half their library, rounded down.",rare,eoe,228
Space-Time Anomaly,{2}{W}{U},Sorcery,Target player mills cards equal to your life total.,rare,eoe,229
Station Monitor,{W}{U},Creature — Lizard Artificer,"Whenever you cast your second spell each turn, create a 1/1 colorless Drone artifact creature token with flying and ""This token can block only creatures with flying.""",uncommon,eoe,230
"Syr Vondam, Sunstar Exemplar",{W}{B},Legendary Creature — Human Knight,"Vigilance, menace
Whenever another creature you control dies or is put into exile, put a +1/+1 counter on Syr Vondam and you gain 1 life.
When Syr Vondam dies or is put into exile while its power is 4 or greater, destroy up to one target nonland permanent.",rare,eoe,231
"Syr Vondam, the Lucent",{2}{W}{B}{B},Legendary Creature — Human Knight,"Deathtouch, lifelink
Whenever Syr Vondam enters or attacks, other creatures you control get +1/+0 and gain deathtouch until end of turn.",uncommon,eoe,232
"Tannuk, Memorial Ensign",{1}{R}{G},Legendary Creature — Kavu Pilot,"Landfall — Whenever a land you control enters, Tannuk deals 1 damage to each opponent. If this is the second time this ability has resolved this turn, draw a card.",uncommon,eoe,233
All-Fates Scroll,{3},Artifact,"{T}: Add one mana of any color.
{7}, {T}, Sacrifice this artifact: Draw X cards, where X is the number of differently named lands you control.",uncommon,eoe,234
Bygone Colossus,{9},Artifact Creature — Robot Giant,"Warp {3} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",uncommon,eoe,235
Chrome Companion,{2},Artifact Creature — Dog,"Whenever this creature becomes tapped, you gain 1 life.
{2}, {T}: Put target card from a graveyard on the bottom of its owner's library.",common,eoe,236
Dauntless Scrapbot,{3},Artifact Creature — Robot,"When this creature enters, exile each opponent's graveyard. Create a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",uncommon,eoe,237
"Dawnsire, Sunstar Dreadnought",{5},Legendary Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 20+.)
10+ | Whenever you attack, Dawnsire deals 100 damage to up to one target creature or planeswalker.
20+ | Flying",mythic,eoe,238
The Dominion Bracelet,{2},Legendary Artifact — Equipment,"Equipped creature gets +1/+1 and has ""{15}, Exile The Dominion Bracelet: You control target opponent during their next turn. This ability costs {X} less to activate, where X is this creature's power. Activate only as a sorcery."" (You see all cards that player could see and make all decisions for them.)
Equip {1}",mythic,eoe,239
The Endstone,{7},Legendary Artifact,"Whenever you play a land or cast a spell, draw a card.
At the beginning of your end step, your life total becomes half your starting life total, rounded up.",mythic,eoe,240
The Eternity Elevator,{5},Legendary Artifact — Spacecraft,"{T}: Add {C}{C}{C}.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery.)
20+ | {T}: Add X mana of any one color, where X is the number of charge counters on The Eternity Elevator.",rare,eoe,241
Extinguisher Battleship,{8},Artifact — Spacecraft,"When this Spacecraft enters, destroy target noncreature permanent. Then this Spacecraft deals 4 damage to each creature.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 5+.)
5+ | Flying, trample",rare,eoe,242
Nutrient Block,{1},Artifact — Food,"Indestructible (Effects that say ""destroy"" don't destroy this artifact.)
{2}, {T}, Sacrifice this artifact: You gain 3 life.
When this artifact is put into a graveyard from the battlefield, draw a card.",common,eoe,243
Pinnacle Kill-Ship,{7},Artifact — Spacecraft,"When this Spacecraft enters, it deals 10 damage to up to one target creature.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
7+ | Flying",common,eoe,244
Survey Mechan,{4},Artifact Creature — Robot,"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)
{10}, Sacrifice this creature: It deals 3 damage to any target. Target player draws three cards and gains 3 life. This ability costs {X} less to activate, where X is the number of differently named lands you control.",uncommon,eoe,245
Thaumaton Torpedo,{1},Artifact,"{6}, {T}, Sacrifice this artifact: Destroy target nonland permanent. This ability costs {3} less to activate if you attacked with a Spacecraft this turn.",common,eoe,246
Thrumming Hivepool,{6},Artifact,"Affinity for Slivers (This spell costs {1} less to cast for each Sliver you control.)
Slivers you control have double strike and haste.
At the beginning of your upkeep, create two 1/1 colorless Sliver creature tokens.",rare,eoe,247
Virulent Silencer,{3},Artifact Creature — Robot Assassin,"Whenever a nontoken artifact creature you control deals combat damage to a player, that player gets two poison counters. (A player with ten or more poison counters loses the game.)",uncommon,eoe,248
Wurmwall Sweeper,{2},Artifact — Spacecraft,"When this Spacecraft enters, surveil 2.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 4+.)
4+ | Flying",common,eoe,249
"Adagia, Windswept Bastion",,Land — Planet,"This land enters tapped.
{T}: Add {W}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {3}{W}, {T}: Create a token that's a copy of target artifact or enchantment you control, except it's legendary. Activate only as a sorcery.",mythic,eoe,250
Breeding Pool,,Land — Forest Island,"({T}: Add {G} or {U}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,251
Command Bridge,,Land,"This land enters tapped.
When this land enters, sacrifice it unless you tap an untapped permanent you control.
{T}: Add one mana of any color.",common,eoe,252
"Evendo, Waking Haven",,Land — Planet,"This land enters tapped.
{T}: Add {G}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {G}, {T}: Add {G} for each creature you control.",mythic,eoe,253
Godless Shrine,,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,254
"Kavaron, Memorial World",,Land — Planet,"This land enters tapped.
{T}: Add {R}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {1}{R}, {T}, Sacrifice a land: Create a 2/2 colorless Robot artifact creature token, then creatures you control get +1/+0 and gain haste until end of turn.",mythic,eoe,255
Sacred Foundry,,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,256
Secluded Starforge,,Land,"{T}: Add {C}.
{2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery.
{5}, {T}: Create a 2/2 colorless Robot artifact creature token.",rare,eoe,257
Stomping Ground,,Land — Mountain Forest,"({T}: Add {R} or {G}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,258
"Susur Secundi, Void Altar",,Land — Planet,"This land enters tapped.
{T}: Add {B}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {1}{B}, {T}, Pay 2 life, Sacrifice a creature: Draw cards equal to the sacrificed creature's power. Activate only as a sorcery.",mythic,eoe,259
"Uthros, Titanic Godcore",,Land — Planet,"This land enters tapped.
{T}: Add {U}.
Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.)
12+ | {U}, {T}: Add {U} for each artifact you control.",mythic,eoe,260
Watery Grave,,Land — Island Swamp,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",rare,eoe,261
Plains,,Basic Land — Plains,({T}: Add {W}.),common,eoe,262
Island,,Basic Land — Island,({T}: Add {U}.),common,eoe,263
Swamp,,Basic Land — Swamp,({T}: Add {B}.),common,eoe,264
Mountain,,Basic Land — Mountain,({T}: Add {R}.),common,eoe,265
